timestamp,location,sensor_type,media_type,media_path,status,anomaly_detected,anomaly_type,ai_confidence
2025-12-29T17:12:56.448140,Main Pipeline KM 18.3,Spectroscopic sensor,video,/media/drone/20251229/Main_Pipeline_KM_18.3_0.video,normal,False,,
2025-12-29T18:19:56.448140,Section C-D,Thermal imaging camera,video,/media/drone/20251229/Section_C-D_1.video,normal,False,,
2025-12-29T13:58:56.448140,Station Area,Spectroscopic sensor,video,/media/drone/20251229/Station_Area_2.video,normal,False,,
2025-12-29T09:01:56.448140,Section C-D,Visible spectrum camera,video,/media/drone/20251229/Section_C-D_3.video,normal,False,,
2025-12-28T19:26:56.448140,Station Area,Spectroscopic sensor,image,/media/drone/20251228/Station_Area_4.image,normal,False,,
2025-12-29T12:13:56.448140,Branch Line,Spectroscopic sensor,image,/media/drone/20251229/Branch_Line_5.image,normal,False,,
2025-12-28T20:10:56.448140,Station Area,Spectroscopic sensor,image,/media/drone/20251228/Station_Area_6.image,normal,False,,
2025-12-29T01:22:56.448140,Main Pipeline KM 12.5,Thermal imaging camera,video,/media/drone/20251229/Main_Pipeline_KM_12.5_7.video,normal,False,,
2025-12-29T03:06:56.448140,Section A-B,Spectroscopic sensor,image,/media/drone/20251229/Section_A-B_8.image,critical,True,"Clear identification of damage: Dents, cracks",91.61
2025-12-28T18:34:56.448140,Station Area,Thermal imaging camera,image,/media/drone/20251228/Station_Area_9.image,normal,False,,
2025-12-28T22:55:56.448140,Section B-C,Spectroscopic sensor,video,/media/drone/20251228/Section_B-C_10.video,critical,True,"Visual signs of rust, coating damage, or corrosion on exposed pipe",90.57
2025-12-28T21:00:56.448140,Main Pipeline KM 12.5,Spectroscopic sensor,image,/media/drone/20251228/Main_Pipeline_KM_12.5_11.image,normal,False,,
2025-12-29T09:34:56.448140,Main Pipeline KM 12.5,Visible spectrum camera,video,/media/drone/20251229/Main_Pipeline_KM_12.5_12.video,normal,False,,
2025-12-29T10:26:56.448140,Section B-C,Thermal imaging camera,video,/media/drone/20251229/Section_B-C_13.video,normal,False,,
2025-12-29T11:27:56.448140,Section A-B,Thermal imaging camera,video,/media/drone/20251229/Section_A-B_14.video,critical,True,Identification of soil erosion or subsidence under the pipe,91.2
2025-12-29T04:47:56.448140,Section A-B,Spectroscopic sensor,video,/media/drone/20251229/Section_A-B_15.video,normal,False,,
2025-12-29T04:50:56.448140,Station Area,Spectroscopic sensor,video,/media/drone/20251229/Station_Area_16.video,normal,False,,
2025-12-29T05:27:56.448140,Section C-D,Thermal imaging camera,image,/media/drone/20251229/Section_C-D_17.image,normal,False,,
